Employee_ID,Job_Title,Department,Role_Level,Employee_Persona,Hire_Date,Tenure_Years,Experience_Years,Domain_Expertise_Years,Salary_INR,Salary_to_Experience_Ratio,Performance_Rating_Current,Perf_Hist_1,Perf_Hist_2,Perf_Hist_3,Perf_Trend_Slope,Recent_Performance_Delta,Performance_Volatility,Weekly_Workload_Hours,Workload_to_Capacity_Ratio,Active_Task_Count,Completed_Tasks_30d,Task_Completion_Rate,Task_Overdue_Count,Overtime_Hours_30d,After_Hours_Activity_Hours,Avg_Daily_Meeting_Hours,Task_Switch_Frequency,Focus_Time_Ratio,Avg_Response_Time_Hours,Current_Day_of_Week,Days_Until_Deadline,Is_Quarter_End,Project_Phase,Days_Since_Vacation,Leave_Days_3m,Self_Reported_Stress,Sentiment_Score,Language_Tone_Stress_Index,Physio_Proxy_HRV,Survey_Wellbeing_Score,Skill_Role_Match_Score,Learning_Capacity_Score,Capacity_Score,Team_Size,Direct_Reports_Count,Collaboration_Intensity_Score,Manager_Support_Score,Communication_Frequency_Score,Incoming_Task_Complexity,Incoming_Task_Complexity_Score,Incoming_Task_Estimated_Hours,Incoming_Task_Skill_Match,Incoming_Task_Urgency,Incoming_Task_Urgency_Score,CLI_v2,Risk_Category,Delta_if_Assign,Delta_no_Assign,Recommendation,Attrition_Label
EMP200010,Marketing Manager,Marketing,Junior,Struggling,2013-08-24,12.21,18.0,12.53,1074469,0.0,4.26,4.61,3.98,4.26,-0.175,0.28,0.258,40.53,1.287,6,16,0.696,1,4.8,0.0,4.52,11,0.67,4.22,3,30,0,Planning,24,1,5.0,-0.164,1.0,81.32,29.37,1.0,0.692,0.7,5,3,1.0,0.693,1.0,High,0.75,19.92,1.0,Low,0.25,0.433,Medium,-0.972,-0.0,AssignWithSupport,0
EMP200011,HR Associate,HR,Lead,Balanced,2005-09-08,20.17,22.0,16.89,4426844,0.001,3.66,3.29,3.75,3.66,0.185,-0.09,0.199,29.64,0.659,5,14,0.7,0,1.1,1.59,0.72,8,0.95,3.52,1,1,0,Maintenance,105,3,2.72,0.03,0.618,77.91,72.92,1.0,0.956,1.0,7,0,0.626,0.885,0.431,High,0.75,21.21,1.0,Low,0.25,0.223,Low,-0.48,-0.068,Assign,0
EMP200012,Business Analyst,Finance,Senior,Struggling,2007-11-02,18.02,18.02,13.74,1126802,0.0,2.89,2.64,2.69,2.89,0.125,0.2,0.108,44.69,1.419,7,16,0.667,1,20.6,0.09,1.46,10,0.891,3.58,3,7,0,Development,10,4,5.0,0.161,0.973,63.25,33.13,1.0,0.713,0.7,3,0,0.449,0.273,0.444,Medium,0.5,13.7,0.965,Medium,0.5,0.396,Medium,-1.8,-0.093,DoNotAssign,0
EMP200013,Senior Software Engineer,Engineering,Junior,Balanced,2011-09-03,14.19,19.0,13.27,1154577,0.0,1.21,1.95,1.51,1.21,-0.37,-0.3,0.304,58.54,1.301,9,3,0.231,2,66.0,0.0,1.9,12,0.776,3.77,1,1,0,Development,8,0,5.0,-0.673,1.0,57.5,26.14,1.0,0.266,1.0,7,0,0.638,0.455,0.381,Medium,0.5,17.92,0.946,Medium,0.5,0.461,Medium,-1.776,-0.162,DoNotAssign,1
EMP200014,Sales Executive,Sales,Junior,Balanced,2012-02-19,13.72,16.0,9.81,995643,0.0,3.34,2.58,2.83,3.34,0.38,0.51,0.316,27.89,0.62,5,7,0.538,1,0.0,1.95,3.03,6,0.808,1.6,3,3,0,Development,87,2,2.57,0.07,0.569,91.92,55.84,1.0,0.813,1.0,15,0,1.0,0.737,0.65,Low,0.25,14.96,1.0,Urgent,1.0,0.226,Low,-0.351,-0.063,Assign,0
EMP200015,DevOps Engineer,Engineering,Junior,Resilient,2023-10-07,2.09,6.0,2.39,769018,0.0,2.42,2.45,2.51,2.42,-0.015,-0.09,0.037,43.68,0.777,8,14,0.609,1,8.1,4.51,0.76,13,0.852,4.47,2,7,0,Testing,57,1,2.89,-0.029,0.416,91.13,72.82,0.45,0.862,1.25,7,0,0.575,0.481,0.364,Medium,0.5,14.89,0.301,Low,0.25,0.301,Medium,-0.572,-0.0,AssignWithSupport,0
EMP200016,Software Engineer II,Engineering,Junior,Resilient,2020-06-22,5.39,12.0,7.48,686574,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,32.34,0.575,5,22,0.786,1,0.0,6.56,1.11,8,0.95,2.94,2,30,0,Maintenance,43,0,1.97,0.783,0.202,105.43,100.0,1.0,1.0,1.25,5,0,0.385,0.727,0.357,Medium,0.5,18.4,0.934,Low,0.25,0.175,Low,-0.225,-0.029,HighPriority,0
EMP200017,Software Engineer I,Engineering,Mid,Sensitive,2025-04-12,0.58,1.0,1.0,1616173,0.006,3.2,2.53,2.68,3.2,0.335,0.52,0.287,20.0,0.523,5,9,0.6,0,0.0,0.0,0.18,7,0.95,4.24,1,1,0,Development,12,3,4.31,-0.042,0.729,66.85,50.05,0.397,0.903,0.85,10,0,0.488,0.658,0.179,Low,0.25,15.76,0.513,High,0.75,0.267,Low,-0.615,-0.071,AssignWithSupport,0
EMP200018,Senior Software Engineer,Engineering,Junior,Resilient,2017-06-30,8.36,11.0,11.0,633203,0.0,4.05,3.75,4.0,4.05,0.15,0.05,0.131,32.74,0.582,7,23,0.742,0,0.0,8.4,1.37,13,0.907,2.09,3,14,0,Development,137,2,1.55,0.563,0.292,112.66,100.0,0.896,0.518,1.25,7,0,0.457,0.754,0.545,Low,0.25,11.62,0.864,High,0.75,0.189,Low,-0.46,-0.037,Assign,0
EMP200019,Product Manager,Other,Junior,Sensitive,2010-01-16,15.82,22.0,13.23,954435,0.0,4.74,4.37,4.54,4.74,0.185,0.2,0.151,27.8,0.727,4,18,0.783,0,5.6,2.94,2.32,8,0.95,3.71,0,3,1,Testing,395,2,5.0,0.427,1.0,58.67,12.32,1.0,0.632,0.85,7,2,0.597,0.762,0.37,Medium,0.5,18.33,0.983,Medium,0.5,0.324,Medium,-0.689,-0.0,AssignWithSupport,0
EMP200020,Senior Product Manager,Other,Mid,Sensitive,2011-11-02,14.02,18.0,12.49,991525,0.0,1.0,1.46,1.0,1.0,-0.23,0.0,0.217,32.31,0.845,6,9,0.562,4,7.6,5.22,2.13,11,0.643,2.62,4,1,0,Planning,40,6,4.49,-0.3,1.0,52.46,44.03,1.0,0.345,0.85,15,3,1.0,0.49,0.326,Low,0.25,9.9,0.972,Medium,0.5,0.427,Medium,-0.926,-0.071,AssignWithSupport,1
EMP200021,Research Scientist,R&D,Junior,Resilient,2011-09-03,14.19,15.0,12.07,954203,0.0,4.94,5.0,4.88,4.94,-0.03,0.06,0.049,38.04,0.676,5,11,0.647,1,0.0,0.98,1.94,10,0.95,2.74,4,7,0,Planning,10,1,2.26,0.098,0.33,98.95,90.68,1.0,0.598,1.25,15,0,0.884,0.764,0.462,Low,0.25,8.27,0.937,Medium,0.5,0.22,Low,-0.122,-0.0,HighPriority,0
EMP200022,Account Manager,Sales,Junior,Struggling,2011-10-24,14.05,14.05,13.97,1375227,0.0,2.76,2.56,2.35,2.76,0.1,0.41,0.167,52.19,1.657,10,24,0.686,1,39.5,4.44,2.8,12,0.727,4.32,3,14,0,Development,77,2,4.46,-0.307,1.0,65.76,31.81,1.0,0.713,0.7,7,5,0.749,0.251,0.597,High,0.75,26.97,1.0,High,0.75,0.466,Medium,-1.8,-0.162,DoNotAssign,0
EMP200023,Software Engineer I,Engineering,Junior,Resilient,2019-01-14,6.82,8.0,5.25,1299580,0.001,4.02,3.83,3.84,4.02,0.095,0.18,0.087,57.61,1.024,8,27,0.75,2,51.3,5.79,0.48,13,0.95,7.41,1,30,0,Deployment,54,1,3.28,0.18,0.385,90.13,80.54,0.959,0.809,1.25,5,0,0.131,0.634,0.1,Medium,0.5,22.56,0.964,Urgent,1.0,0.342,Medium,-1.213,-0.12,DoNotAssign,0
EMP200024,Business Analyst,Finance,Mid,Balanced,2016-01-27,9.79,10.0,8.69,1861243,0.001,1.07,1.06,1.0,1.07,0.005,0.07,0.031,73.66,1.637,12,11,0.458,2,113.4,8.1,1.01,16,0.703,6.96,0,3,0,Development,28,4,5.0,-0.74,1.0,54.05,28.64,0.699,0.978,1.0,7,0,0.644,0.788,0.1,Medium,0.5,13.26,0.687,Medium,0.5,0.558,High,-1.8,-0.087,DoNotAssign,0
EMP200025,Product Manager,Other,Senior,Sensitive,2013-01-15,12.82,16.0,14.11,2785211,0.001,3.33,3.38,3.43,3.33,-0.025,-0.1,0.041,25.13,0.657,4,8,0.615,1,0.0,0.0,2.04,7,0.948,1.7,1,7,0,Development,72,0,4.58,-0.443,0.889,50.68,37.33,1.0,0.802,0.85,3,3,0.475,0.677,0.587,High,0.75,20.86,1.0,Medium,0.5,0.312,Medium,-0.581,-0.077,AssignWithSupport,0
EMP200026,Finance Analyst,Finance,Junior,Struggling,2008-02-10,17.75,20.0,14.98,1117430,0.0,1.78,2.02,1.76,1.78,-0.12,0.02,0.118,24.77,0.786,5,5,0.455,1,0.0,0.0,1.53,9,0.743,4.33,2,7,0,Deployment,49,2,5.0,-0.117,0.925,44.94,40.33,1.0,0.652,0.7,15,0,1.0,0.68,0.392,Low,0.25,7.45,1.0,High,0.75,0.367,Medium,-0.977,-0.142,AssignWithSupport,1
EMP200027,Customer Success Manager,CustomerSuccess,Mid,Struggling,2005-06-18,20.4,24.0,17.04,892479,0.0,1.76,2.1,1.95,1.76,-0.17,-0.19,0.139,23.06,0.732,3,4,0.5,0,0.0,0.0,1.52,8,0.707,2.57,2,14,0,Development,65,1,5.0,-0.379,1.0,49.0,23.72,1.0,0.24,0.7,7,4,0.641,0.614,0.538,Low,0.25,8.47,1.0,Medium,0.5,0.357,Medium,-0.708,-0.068,AssignWithSupport,0
EMP200028,Finance Analyst,Finance,Mid,Balanced,2009-07-26,16.29,17.0,13.15,1628939,0.0,2.72,2.82,2.67,2.72,-0.05,0.05,0.062,55.23,1.227,8,17,0.654,1,62.7,0.0,1.11,9,0.823,5.75,4,14,0,Development,335,4,5.0,0.24,1.0,43.1,28.18,1.0,0.361,1.0,7,0,0.65,0.605,0.614,Medium,0.5,13.28,0.643,Medium,0.5,0.402,Medium,-1.761,-0.107,DoNotAssign,0
EMP200029,Business Analyst,Finance,Junior,Balanced,2007-03-30,18.62,21.0,17.74,902797,0.0,1.88,2.79,2.14,1.88,-0.455,-0.26,0.383,44.04,0.979,7,4,0.333,2,21.5,4.62,1.38,11,0.716,2.73,4,7,0,Deployment,79,0,4.73,-0.127,0.972,56.68,37.92,1.0,0.333,1.0,7,0,0.647,0.445,0.281,Low,0.25,14.6,1.0,Low,0.25,0.407,Medium,-1.214,-0.124,DoNotAssign,1
EMP200030,DevOps Engineer,Engineering,Mid,Resilient,2021-05-20,4.48,4.48,4.33,735578,0.001,4.85,4.07,4.96,4.85,0.39,-0.11,0.396,20.0,0.356,5,12,0.667,2,6.8,0.61,2.49,10,0.95,1.8,1,14,0,Development,32,0,1.56,0.299,0.181,99.58,86.6,1.0,1.0,1.25,5,0,0.524,0.911,0.659,Medium,0.5,21.11,0.72,Urgent,1.0,0.16,Low,-0.245,-0.017,Assign,0
EMP200031,Senior Product Manager,Other,Junior,Struggling,2007-05-08,18.51,21.0,14.54,883904,0.0,3.97,3.77,3.9,3.97,0.1,0.07,0.083,21.65,0.687,2,11,0.786,2,0.4,0.0,3.39,5,0.882,2.06,3,30,0,Development,28,2,5.0,-0.342,1.0,42.48,25.35,1.0,0.569,0.7,7,3,1.0,0.428,1.0,Low,0.25,16.16,1.0,Medium,0.5,0.338,Medium,-0.492,-0.06,Assign,0
EMP200032,Site Reliability Engineer,Engineering,Junior,Struggling,2020-02-09,5.75,11.0,8.67,512657,0.0,1.39,1.0,1.0,1.39,0.195,0.39,0.184,64.62,2.051,9,11,0.524,3,76.0,9.78,2.64,13,0.666,6.89,0,7,0,Development,84,2,5.0,-0.506,1.0,53.34,19.84,0.744,0.583,0.7,7,0,0.774,0.681,0.519,Critical,1.0,23.04,0.619,Medium,0.5,0.593,High,-1.8,-0.218,DoNotAssign,0
EMP200033,Sales Executive,Sales,Lead,Struggling,2013-01-16,12.82,12.82,12.4,6117877,0.002,2.83,3.61,3.27,2.83,-0.39,-0.44,0.319,32.86,1.043,5,9,0.6,2,8.3,0.92,1.75,8,0.888,6.6,0,14,0,Testing,39,5,4.6,-0.171,0.975,45.85,43.36,1.0,0.833,0.7,3,0,0.421,0.748,0.459,Medium,0.5,12.77,1.0,Urgent,1.0,0.378,Medium,-1.097,-0.125,DoNotAssign,1
EMP200034,Data Scientist I,DataScience,Lead,Balanced,2006-07-13,19.33,23.0,20.1,5693150,0.001,3.37,3.12,3.02,3.37,0.125,0.35,0.147,26.0,0.578,4,9,0.643,0,0.0,4.14,0.99,8,0.95,3.22,4,3,1,Development,449,3,3.4,0.392,0.707,43.69,58.69,1.0,0.783,1.0,7,0,0.659,0.638,0.458,Low,0.25,11.98,1.0,Medium,0.5,0.259,Low,-0.471,-0.0,Assign,1
EMP200035,C-Level Executive,Executive,Senior,Balanced,2021-12-14,3.91,5.0,5.0,1466069,0.001,1.0,1.0,1.04,1.0,0.0,-0.04,0.019,44.14,0.981,7,8,0.5,5,15.9,5.72,1.79,16,0.621,5.31,3,30,0,Development,285,1,4.89,-0.6,0.965,45.02,30.96,0.55,0.583,1.0,7,3,0.524,0.357,0.74,Low,0.25,12.04,0.385,Medium,0.5,0.528,Medium,-1.113,-0.157,DoNotAssign,0
EMP200036,Software Engineer I,Engineering,Junior,Struggling,2017-02-02,8.77,13.0,11.15,963725,0.0,2.93,3.19,3.13,2.93,-0.13,-0.2,0.111,27.82,0.883,4,8,0.615,0,5.4,0.0,2.06,5,0.827,4.33,3,14,0,Planning,46,0,4.13,-0.419,1.0,62.15,32.66,1.0,0.914,0.7,15,0,1.0,0.68,0.507,High,0.75,27.84,0.985,Low,0.25,0.319,Medium,-0.654,-0.003,AssignWithSupport,1
EMP200037,Operations Manager,Operations,Junior,Balanced,2009-12-02,15.94,19.0,13.2,909626,0.0,3.75,3.81,3.77,3.75,-0.03,-0.02,0.025,38.68,0.86,6,9,0.562,2,0.2,7.28,4.57,10,0.7,2.25,2,1,0,Development,49,1,2.85,-0.037,0.546,71.82,55.19,1.0,0.638,1.0,20,1,1.0,0.694,1.0,High,0.75,36.1,0.93,Medium,0.5,0.325,Medium,-0.734,-0.101,AssignWithSupport,0
EMP200038,C-Level Executive,Executive,Mid,Balanced,2023-08-30,2.2,6.0,5.9,1346650,0.001,3.48,3.07,2.99,3.48,0.205,0.49,0.215,52.87,1.175,9,26,0.722,2,41.9,5.05,2.84,12,0.797,3.74,4,14,0,Development,199,0,3.71,0.025,0.974,57.66,44.34,0.643,0.968,1.0,7,7,0.944,0.3,0.763,Low,0.25,12.5,0.658,High,0.75,0.381,Medium,-1.186,-0.073,DoNotAssign,0
EMP200039,Director of Engineering,Engineering,Junior,Resilient,2005-12-11,19.92,23.0,15.98,1165112,0.0,3.67,3.96,4.08,3.67,-0.145,-0.41,0.172,59.2,1.052,7,27,0.771,0,53.0,7.16,2.48,11,0.853,3.8,0,14,1,Development,8,2,3.78,0.224,0.564,79.41,59.06,1.0,0.475,1.25,7,1,0.779,0.761,1.0,Medium,0.5,14.23,0.857,Low,0.25,0.333,Medium,-0.993,-0.072,AssignWithSupport,0
EMP200040,Finance Analyst,Finance,Junior,Struggling,2009-03-18,16.65,22.0,15.38,895007,0.0,1.0,1.21,1.05,1.0,-0.105,-0.05,0.09,45.79,1.454,9,7,0.412,3,10.2,7.66,1.25,13,0.69,4.74,3,30,0,Deployment,68,3,4.89,-0.388,0.938,35.46,32.85,1.0,0.314,0.7,3,0,0.147,0.504,0.316,High,0.75,19.5,1.0,High,0.75,0.51,Medium,-1.454,-0.171,DoNotAssign,0
EMP200041,DevOps Engineer,Engineering,Mid,Resilient,2020-09-08,5.17,9.0,7.15,2035752,0.001,2.72,2.77,2.72,2.72,-0.025,0.0,0.024,20.0,0.356,3,11,0.733,0,1.5,9.02,0.9,5,0.925,2.39,0,7,0,Development,427,2,2.19,0.153,0.261,97.63,75.68,0.767,0.878,1.25,5,0,0.425,0.409,0.353,Medium,0.5,16.44,0.757,High,0.75,0.205,Low,-0.397,-0.069,Assign,0
EMP200042,Senior Data Scientist,DataScience,Junior,Sensitive,2019-10-19,6.06,7.0,4.89,1514307,0.001,3.53,3.59,3.35,3.53,-0.03,0.18,0.102,27.01,0.706,6,6,0.462,3,0.0,4.06,0.26,7,0.95,4.05,2,30,0,Development,239,1,5.0,-0.046,0.985,55.57,37.25,0.717,0.803,0.85,10,0,0.647,0.514,0.168,Medium,0.5,23.93,0.956,Medium,0.5,0.363,Medium,-0.626,-0.081,AssignWithSupport,1
EMP200043,Data Scientist I,DataScience,Senior,Balanced,2011-01-13,14.83,18.0,12.2,2356835,0.0,4.98,5.0,4.63,4.98,-0.01,0.35,0.17,49.74,1.105,7,26,0.765,2,37.9,2.33,1.28,9,0.95,3.97,3,3,0,Development,51,1,4.16,0.119,0.723,95.88,51.44,1.0,0.67,1.0,7,0,0.413,0.577,0.48,Medium,0.5,14.25,1.0,Urgent,1.0,0.346,Medium,-1.238,-0.114,DoNotAssign,0
EMP200044,Engineering Manager,Engineering,Junior,Balanced,2006-04-18,19.56,21.0,18.1,718256,0.0,1.51,1.97,1.49,1.51,-0.23,0.02,0.222,62.79,1.395,10,2,0.154,5,69.5,13.81,2.6,14,0.546,4.65,3,3,0,Deployment,23,1,4.55,0.076,1.0,45.69,30.49,1.0,0.157,1.0,10,7,0.917,0.605,0.911,Medium,0.5,17.1,1.0,Medium,0.5,0.532,Medium,-1.8,-0.133,DoNotAssign,0
EMP200045,Product Manager,Other,Mid,Balanced,2022-11-24,2.96,6.0,3.31,674459,0.0,2.41,2.44,2.58,2.41,-0.015,-0.17,0.074,51.55,1.146,8,12,0.571,2,33.1,6.54,3.31,10,0.727,3.33,3,30,0,Development,56,3,5.0,-0.245,0.963,35.56,20.33,0.544,0.999,1.0,5,6,0.91,0.643,0.932,High,0.75,15.88,0.612,High,0.75,0.441,Medium,-1.396,-0.114,DoNotAssign,0
EMP200046,Operations Manager,Operations,Junior,Sensitive,2011-07-18,14.32,16.0,12.59,852610,0.0,2.88,2.68,2.92,2.88,0.1,-0.04,0.105,38.65,1.01,7,16,0.667,0,6.0,3.42,1.94,14,0.75,3.88,4,7,0,Deployment,82,0,4.51,0.096,0.919,44.55,43.48,1.0,0.67,0.85,5,4,0.603,0.743,0.622,Low,0.25,12.4,0.795,Medium,0.5,0.377,Medium,-0.819,-0.053,AssignWithSupport,0
EMP200047,Senior Data Scientist,DataScience,Mid,Resilient,2009-01-30,16.78,18.0,14.79,873450,0.0,4.79,4.3,4.58,4.79,0.245,0.21,0.201,48.58,0.864,8,21,0.7,0,24.3,0.2,1.85,13,0.95,3.91,0,7,0,Testing,7,0,1.75,0.16,0.378,80.98,87.33,1.0,0.931,1.25,3,0,0.696,0.581,0.755,Medium,0.5,13.38,0.735,High,0.75,0.218,Low,-0.822,-0.042,AssignWithSupport,0
EMP200048,Staff Engineer,Engineering,Mid,Balanced,2015-10-07,10.09,13.0,13.0,562215,0.0,4.67,4.3,4.41,4.67,0.185,0.26,0.155,100.0,2.222,12,36,0.735,1,120.0,15.99,1.25,14,0.95,8.26,3,30,0,Testing,16,0,5.0,-0.539,1.0,78.52,34.94,1.0,1.0,1.0,10,0,0.667,0.64,0.281,Medium,0.5,10.44,1.0,Medium,0.5,0.6,High,-1.8,-0.076,DoNotAssign,1
EMP200049,Senior Software Engineer,Engineering,Junior,Struggling,2023-12-27,1.87,5.0,5.0,871150,0.001,4.86,5.0,4.71,4.86,-0.07,0.15,0.118,20.0,0.635,3,6,0.6,2,0.0,5.98,0.87,6,0.95,4.23,0,1,0,Development,17,4,4.29,0.663,0.929,66.85,37.67,0.956,1.0,0.7,15,0,1.0,0.674,0.388,Medium,0.5,11.11,0.934,Medium,0.5,0.278,Low,-0.359,-0.038,Assign,0
EMP200050,QA Engineer,Engineering,Lead,Workaholic,2005-11-28,19.95,25.0,14.64,3998962,0.001,3.48,4.09,3.85,3.48,-0.305,-0.37,0.251,81.44,1.645,11,30,0.714,1,120.0,12.81,2.87,14,0.801,6.24,4,3,0,Testing,117,6,5.0,-0.441,1.0,73.12,24.84,1.0,0.431,1.1,7,0,0.743,0.675,1.0,Low,0.25,6.7,1.0,Low,0.25,0.524,Medium,-1.636,-0.123,DoNotAssign,0
EMP200051,Staff Engineer,Engineering,Senior,Balanced,2020-12-21,4.89,6.0,4.66,2171208,0.001,3.34,2.95,3.21,3.34,0.195,0.13,0.162,52.16,1.159,7,14,0.636,2,37.3,6.5,1.68,9,0.929,4.6,3,14,0,Development,73,2,3.69,0.248,1.0,45.71,51.06,0.573,0.961,1.0,5,0,0.48,0.736,0.764,Low,0.25,6.68,0.722,Low,0.25,0.344,Medium,-1.281,-0.032,DoNotAssign,0
EMP200052,Machine Learning Engineer,Engineering,Lead,Struggling,2016-12-10,8.92,8.92,8.92,2334043,0.001,3.04,3.89,3.28,3.04,-0.425,-0.24,0.358,74.85,2.376,13,26,0.65,1,110.2,5.41,0.79,20,0.927,10.76,4,14,0,Deployment,83,3,5.0,-0.548,1.0,60.36,28.46,1.0,0.804,0.7,5,0,0.44,0.688,0.435,Medium,0.5,10.48,1.0,Low,0.25,0.601,High,-1.8,-0.102,DoNotAssign,1
